endTime,artistName,trackName,msPlayed;
2020-09-25 01:27,Ray LaMontagne,Roll Me Mama Roll Me,244920;
2020-09-25 01:30,Lennon Stella,Older Than I Am,181533;
2020-09-25 01:35,Rex Orange County,Pluto Projector,267520;
2020-09-25 01:38,Daft Punk,Within,228506;
2020-09-25 01:43,Brittany Howard,Short and Sweet,224755;
2020-09-25 01:45,Videoclub,What Are You So Afraid Of,147573;
2020-09-25 01:50,JP Saxe,Sad Corny Fuck,220520;
2020-09-25 01:54,Tom Odell,Another Love,244360;
2020-09-25 01:57,Tim Dup,Le visage de la nuit,195000;
2020-09-25 02:01,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687;
2020-09-25 02:04,San Fermin,Little Star,178346;
2020-09-25 02:08,Madison Beer,Selfish,223270;
2020-09-25 02:13,Alice on the roof,Show Me How To Love,223426;
2020-09-25 02:15,Noah Cyrus,Lonely,144377;
2020-09-25 02:20,Sia,Elastic Heart - Piano Version,250133;
2020-09-25 02:24,Julien DorÃ©,Barracuda II,232480;
2020-09-25 02:28,Silly Boy Blue,Hi It's Me Again,212266;
2020-09-25 02:31,Nea,Some Say,175601;
2020-09-25 02:34,Prudence,Passionfruit - Drake Cover,171253;
2020-09-25 02:38,Declan J Donovan,Perfectly Imperfect,204085;
2020-09-25 02:43,Jeff Buckley,Hallelujah,324915;
2020-09-25 02:49,Rob Simonsen,Coeur,315786;
2020-09-25 02:51,Piano Novel,Mirror Symmetry - Solo Piano Version,123546;
2020-09-25 02:54,JB Dunckel,Summer Love,122773;
2020-09-25 02:57,Tate McRae,stupid,172915;
2020-09-25 03:00,Noah Cyrus,July,156106;
2020-09-25 03:04,BANNERS,Someone To You,219801;
2020-09-25 03:05,Sam Fischer,This City,24282;
2020-09-25 08:41,Chiloo,W.D,0;
2020-09-25 08:41,Chiloo,W.D,2474;
2020-09-25 09:27,Wejdene,16,68906;
2020-09-25 09:33,Master KG,Jerusalema (feat. Nomcebo Zikode),342612;
2020-09-25 09:36,Jawsh 685,Savage Love (Laxed - Siren Beat),171374;
2020-09-25 09:39,Ofenbach,Head Shoulders Knees & Toes (feat. Norma Jean Martine),156960;
2020-09-25 09:42,Robin Schulz,Alane,175016;
2020-09-25 09:45,Bakermat,BaianÃ¡,182186;
2020-09-25 09:47,Lucenzo,No me ama,167474;
2020-09-25 09:50,Aya Nakamura,Jolie nana,147076;
2020-09-25 09:53,Anitta,Me Gusta (with Cardi B & Myke Towers),180788;
2020-09-25 09:56,Lucky Luke,Cooler Than Me,179760;
2020-09-25 09:59,KAROL G,Tusa,200960;
2020-09-25 10:03,Jason Derulo,Take You Dancing,190306;
2020-09-25 10:06,CRISPIE,Ladida (My Heart Goes Boom),173333;
2020-09-25 10:10,ItaloBrothers,Summer Air,183587;
2020-09-25 10:14,Black Eyed Peas,MAMACITA,251428;
2020-09-25 10:18,DaBaby,ROCKSTAR (feat. Roddy Ricch),181733;
2020-09-25 10:21,Conkarah,Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,210328;
2020-09-25 10:24,Wejdene,Coco,167997;
2020-09-25 10:27,JubÃ«l,Dancing In The Moonlight (feat. NEIMY),164009;
2020-09-25 10:31,Doja Cat,Say So,237893;
2020-09-25 10:45,Maluma,HawÃ¡i,200197;
2020-09-25 10:48,Nea,Some Say - Felix Jaehn Remix,186878;
2020-09-25 10:51,Joel Corry,Head & Heart (feat. MNEK),166028;
2020-09-25 10:54,Major Lazer,Lay Your Head On Me - Joel Corry Remix,167529;
2020-09-25 10:57,Lady Gaga,Rain On Me (with Ariana Grande),182200;
2020-09-25 11:01,Calvin Harris,Promises (with Sam Smith),213309;
2020-09-25 11:05,Tez Cadey,Seve - Radio Edit,210853;
2020-09-25 11:08,Regard,Secrets,176766;
2020-09-25 11:12,Purple Disco Machine,Devil in Me (feat. Joe Killington & Duane Harden),199360;
2020-09-25 17:47,Ofenbach,Be Mine,161322;
2020-09-25 17:51,Robin Schulz,Sugar (feat. Francesco Yates),219043;
2020-09-25 17:55,Dubdogz,Infinity - Dubdogz & Bhaskar Edit,196000;
2020-09-25 17:57,R3HAB,All Around The World (La La La),147840;
2020-09-25 18:00,OMI,Cheerleader (Felix Jaehn Remix) - Radio Edit,180021;
2020-09-25 18:04,Maejor,I Love You (432 Hz) (with Greeicy),171000;
2020-09-25 18:07,Daddy Yankee,Con Calma,193226;
2020-09-25 18:11,Topic,Breaking Me,166793;
2020-09-25 18:14,Major Lazer,Lean On (feat. MÃ˜ & DJ Snake),176561;
2020-09-25 18:18,Broken Back,Halcyon Birds,273653;
2020-09-25 18:22,Calvin Harris,One Kiss (with Dua Lipa),214846;
2020-09-25 18:25,Mr. Probz,Waves - Robin Schulz Radio Edit,208133;
2020-09-25 18:28,SAINt JHN,Roses - Imanbek Remix,176840;
2020-09-25 18:31,twocolors,Lovefool,190487;
2020-09-25 18:35,VIZE,Glad You Came,198095;
2020-09-25 18:38,Dua Lipa,Don't Start Now,183290;
2020-09-25 18:41,Feder,Goodbye (feat. Lyse) - Radio Edit,201938;
2020-09-25 18:44,MEDUZA,Piece Of Your Heart,152913;
2020-09-25 18:47,VIZE,Never Let Me Down,153148;
2020-09-25 19:15,Surf Mesa,ily (i love you baby) (feat. Emilee),75885;
2020-09-26 10:09,Trevor Daniel,Past Life (with Selena Gomez),98365;
2020-09-26 10:12,Sam Fischer,This City,194853;
2020-09-26 10:17,JP Saxe,If the World Was Ending (feat. Julia Michaels),208687;
2020-09-26 10:20,Bazzi,Young & Alive,160465;
2020-09-26 10:23,Ariana Grande,Stuck with U (with Justin Bieber),228482;
2020-09-26 10:26,Tate McRae,you broke me first,169265;
2020-09-26 10:31,Jaymes Young,Happiest Year,228442;
2020-09-26 10:34,Alexander 23,IDK You Yet,184638;
2020-09-26 10:36,Labrinth,Still Don't Know My Name,153294;
2020-09-26 10:40,Natalie Taylor,Surrender,183103;
